city,column,detector,n,perfit_s,search_s
amsterdam,soil_moisture_7_to_28cm,LOF,3000,0.003179042018018663,0.07947605045046657
amsterdam,soil_moisture_7_to_28cm,LOF,4000,0.0040094169962685555,0.10023542490671389
amsterdam,soil_moisture_7_to_28cm,LOF,5000,0.005029207997722551,0.12573019994306378
amsterdam,soil_moisture_7_to_28cm,LOF,6000,0.006262959010200575,0.15657397525501437
amsterdam,soil_moisture_7_to_28cm,LOF,7500,0.00819733299431391,0.20493332485784777
amsterdam,soil_moisture_7_to_28cm,LOF,9000,0.00954749999800697,0.23868749995017424
amsterdam,soil_moisture_7_to_28cm,LOF,10000,0.010771917004603893,0.2692979251150973
amsterdam,soil_moisture_7_to_28cm,LOF,12000,0.013432125007966533,0.33580312519916333
amsterdam,soil_moisture_7_to_28cm,LOF,14000,0.016340166999725625,0.4085041749931406
amsterdam,soil_moisture_7_to_28cm,LOF,15000,0.017497875000117347,0.43744687500293367
amsterdam,soil_moisture_7_to_28cm,LOF,17000,0.02057937500649132,0.514484375162283
amsterdam,soil_moisture_7_to_28cm,LOF,19000,0.023992375005036592,0.5998093751259148
amsterdam,soil_moisture_7_to_28cm,LOF,20352,0.025878958986140788,0.6469739746535197
