column,anomaly_rate,shift_pct,precision,recall,f1,f2,missed_rate,extra_flag_rate,recall_pos,recall_neg,model
initialTransmissionSystemDemandOutturn,0.02,0.1,0.2029,0.5348666666666667,0.2921666666666667,0.3995333333333333,0.46513333333333334,0.044833333333333336,0.3981333333333333,0.6762666666666667,IForest
initialTransmissionSystemDemandOutturn,0.02,0.2,0.39740000000000003,0.8098000000000001,0.5316,0.6687,0.1902,0.025566666666666668,0.7397666666666667,0.8829666666666666,IForest
initialTransmissionSystemDemandOutturn,0.02,0.3,0.5402666666666667,0.8569,0.6619,0.7661666666666668,0.1431,0.015033333333333334,0.7945000000000001,0.9194666666666667,ECOD
initialTransmissionSystemDemandOutturn,0.02,0.4,0.7455666666666666,0.8813666666666666,0.7990333333333334,0.8434666666666667,0.11863333333333333,0.0070666666666666655,0.8117666666666666,0.9525666666666667,ECOD
initialTransmissionSystemDemandOutturn,0.02,0.5,0.9010499999999999,0.8983,0.8996500000000001,0.8988499999999999,0.1017,0.002,0.83345,0.97045,ECOD
initialTransmissionSystemDemandOutturn,0.05,0.1,0.22755,0.69345,0.34265,0.49195,0.30655,0.12405,0.6702,0.717,HBOS
initialTransmissionSystemDemandOutturn,0.05,0.2,0.4093,0.87445,0.5567500000000001,0.7114,0.12555,0.0669,0.8081499999999999,0.93965,IForest
initialTransmissionSystemDemandOutturn,0.05,0.3,0.47835,0.90385,0.6256,0.7673,0.09615000000000001,0.0519,0.85,0.9571000000000001,IForest
initialTransmissionSystemDemandOutturn,0.05,0.4,0.53265,0.95475,0.68355,0.8239000000000001,0.04525,0.04425,0.9154,0.99325,IForest
initialTransmissionSystemDemandOutturn,0.05,0.5,0.6105,0.85635,0.7128,0.7925,0.14365,0.0288,0.8539,0.85775,IForest
initialTransmissionSystemDemandOutturn,0.1,0.1,0.34604999999999997,0.63875,0.44889999999999997,0.54635,0.36125,0.13419999999999999,0.5891,0.69,ECOD
initialTransmissionSystemDemandOutturn,0.1,0.2,0.5234,0.8431500000000001,0.6454,0.75095,0.15685,0.08549999999999999,0.8237000000000001,0.8631500000000001,HBOS
initialTransmissionSystemDemandOutturn,0.1,0.3,0.5995,0.9145,0.7242500000000001,0.82755,0.08549999999999999,0.06789999999999999,0.9049499999999999,0.9242,HBOS
initialTransmissionSystemDemandOutturn,0.1,0.4,0.66755,0.92635,0.7744,0.85835,0.07365,0.052450000000000004,0.92635,0.92645,HBOS
initialTransmissionSystemDemandOutturn,0.1,0.5,0.8180499999999999,0.87825,0.8470500000000001,0.86555,0.12175,0.0217,0.8,0.95865,ECOD
initialTransmissionSystemDemandOutturn,0.2,0.1,0.48635,0.4839,0.4851,0.48435,0.5161,0.1278,0.45375,0.51435,ECOD
initialTransmissionSystemDemandOutturn,0.2,0.2,0.6711,0.65965,0.66535,0.6619,0.34035,0.08085,0.59875,0.7211,ECOD
initialTransmissionSystemDemandOutturn,0.2,0.3,0.7572,0.74435,0.7507,0.74685,0.25565,0.0597,0.67275,0.8166,ECOD
initialTransmissionSystemDemandOutturn,0.2,0.4,0.80085,0.78685,0.7938000000000001,0.78955,0.21315,0.0489,0.72235,0.8519,ECOD
initialTransmissionSystemDemandOutturn,0.2,0.5,0.82255,0.8086,0.81555,0.81135,0.19140000000000001,0.0436,0.75115,0.8667,ECOD
