time,city_id,target_column,model_name,y_value,original_value,is_synthetic,shift_pct,y_true,y_pred,label,anomaly_score,anomaly_prob,score_percentile,threshold_score,contamination,best_obj_f2,param_n_neighbors,param_leaf_size
2024-11-17 03:00:00,paris,temperature_2m,LOF,5.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 04:00:00,paris,temperature_2m,LOF,5.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 05:00:00,paris,temperature_2m,LOF,6.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 06:00:00,paris,temperature_2m,LOF,6.7,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 07:00:00,paris,temperature_2m,LOF,7.1,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 08:00:00,paris,temperature_2m,LOF,7.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 09:00:00,paris,temperature_2m,LOF,7.7,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 10:00:00,paris,temperature_2m,LOF,7.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 11:00:00,paris,temperature_2m,LOF,8.3,,False,0.0,0,0,TN,3116161.141629,0.034143,94.78,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 12:00:00,paris,temperature_2m,LOF,8.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 13:00:00,paris,temperature_2m,LOF,9.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 14:00:00,paris,temperature_2m,LOF,10.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 15:00:00,paris,temperature_2m,LOF,8.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 16:00:00,paris,temperature_2m,LOF,9.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 17:00:00,paris,temperature_2m,LOF,9.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 18:00:00,paris,temperature_2m,LOF,8.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 19:00:00,paris,temperature_2m,LOF,8.1,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 20:00:00,paris,temperature_2m,LOF,7.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 21:00:00,paris,temperature_2m,LOF,7.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 22:00:00,paris,temperature_2m,LOF,6.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 23:00:00,paris,temperature_2m,LOF,6.7,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 00:00:00,paris,temperature_2m,LOF,6.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 01:00:00,paris,temperature_2m,LOF,6.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 02:00:00,paris,temperature_2m,LOF,6.7,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 03:00:00,paris,temperature_2m,LOF,7.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 04:00:00,paris,temperature_2m,LOF,7.3,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 05:00:00,paris,temperature_2m,LOF,7.3,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 06:00:00,paris,temperature_2m,LOF,7.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 07:00:00,paris,temperature_2m,LOF,7.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 08:00:00,paris,temperature_2m,LOF,7.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 09:00:00,paris,temperature_2m,LOF,7.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 10:00:00,paris,temperature_2m,LOF,7.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 11:00:00,paris,temperature_2m,LOF,8.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 12:00:00,paris,temperature_2m,LOF,8.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 13:00:00,paris,temperature_2m,LOF,9.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 14:00:00,paris,temperature_2m,LOF,9.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 15:00:00,paris,temperature_2m,LOF,10.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 16:00:00,paris,temperature_2m,LOF,10.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 17:00:00,paris,temperature_2m,LOF,10.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 18:00:00,paris,temperature_2m,LOF,10.3,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 19:00:00,paris,temperature_2m,LOF,10.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 20:00:00,paris,temperature_2m,LOF,10.3,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 21:00:00,paris,temperature_2m,LOF,10.5,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-18 22:00:00,paris,temperature_2m,LOF,10.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
